order_month,product_category,gmv,anomaly_z_score,holiday_gmv_share_pct,holiday_day_orders
2018-08-01,food,8174.18,3.86,0.0,0
2017-04-01,dvds_blu_ray,1434.9,3.53,1.04,1
2017-09-01,fixed_telephony,13692.91,3.4,0.0,0
2017-03-01,home_comfort_2,342.88,3.39,0.0,0
2018-07-01,costruction_tools_tools,5501.2,3.34,4.23,1
2017-05-01,art,6927.25,3.33,0.0,0
2018-03-01,audio,10606.69,3.3,4.71,1
2017-04-01,market_place,4045.28,3.22,0.0,0
2018-01-01,stationery,39522.72,3.19,0.12,1
2018-06-01,signaling_and_security,5863.18,3.17,0.0,0
2018-01-01,luggage_accessories,18546.32,3.13,1.5,1
2018-04-01,home_appliances,16246.23,3.08,1.51,4
2017-11-01,agro_industry_and_commerce,13932.49,2.99,0.0,0
2018-04-01,drinks,5016.44,2.97,0.86,1
2018-05-01,cine_photo,2108.29,2.97,3.93,1
2018-02-01,christmas_supplies,2059.65,2.88,34.05,1
2017-04-01,small_appliances,23114.98,2.82,2.36,2
2017-11-01,toys,62915.96,2.8,2.83,12
2018-04-01,home_appliances_2,20741.69,2.76,8.54,2
2018-05-01,books_technical,3040.53,2.71,1.89,1
2017-05-01,tablets_printing_image,1514.98,2.65,0.0,0
2018-04-01,music,1696.86,2.55,0.0,0
2018-03-01,office_furniture,30861.64,2.53,6.6,7
2017-09-01,fashion_underwear_beach,1619.9,2.53,0.0,0
2018-04-01,books_general_interest,6274.51,2.51,3.01,2
2018-01-01,costruction_tools_garden,3927.98,2.48,0.0,0
2017-06-01,fashion_sport,470.5,2.4,0.0,0
2018-08-01,telephony,36572.91,2.36,0.0,0
2018-06-01,diapers_and_hygiene,321.0,2.36,0.0,0
2018-08-01,pet_shop,24608.07,2.35,0.0,0
