order_month,product_category,orders,gmv,yoy_growth_pct,anomaly_z_score,is_anomaly_month,holiday_gmv_share_pct
2018-05-01,watches_gifts,585,119528.88,225.81,1.89,False,9.58
2018-08-01,health_beauty,765,119391.01,140.1,1.78,False,0.0
2018-06-01,health_beauty,790,106745.72,235.08,1.42,False,0.0
2018-07-01,health_beauty,699,103647.21,200.35,1.34,False,2.07
2018-02-01,computers_accessories,791,102672.14,807.07,2.31,True,5.18
2018-03-01,watches_gifts,407,95688.05,284.41,1.19,False,1.93
2017-11-01,watches_gifts,424,95292.34,,1.18,False,5.32
2018-07-01,watches_gifts,507,95219.79,182.53,1.17,False,2.7
2018-05-01,health_beauty,669,94534.38,101.61,1.08,False,7.83
2018-04-01,health_beauty,619,91058.45,310.61,0.98,False,7.37
2018-04-01,watches_gifts,462,89223.06,281.6,1.0,False,4.7
2017-11-01,bed_bath_table,804,88951.75,,1.63,False,4.45
2018-01-01,sports_leisure,575,86406.83,794.63,1.78,False,0.44
2018-02-01,health_beauty,595,85493.2,287.55,0.82,False,6.28
2018-06-01,watches_gifts,444,85027.57,211.03,0.87,False,0.0
2018-03-01,computers_accessories,630,85003.18,202.73,1.63,False,0.44
2018-03-01,health_beauty,605,84518.56,229.48,0.8,False,1.09
2018-01-01,computers_accessories,574,82195.42,1994.61,1.52,False,0.05
2018-03-01,sports_leisure,645,81894.34,221.5,1.58,False,2.43
2017-11-01,health_beauty,519,78333.39,57937.63,0.62,False,2.81
