cohort_month,customer_state,customers,repeat_customers_90d,repeat_rate_90d_pct
2018-08-01,SP,3059,12.0,0.39
2018-08-01,RJ,694,3.0,0.43
2018-08-01,MG,682,2.0,0.29
2018-08-01,PR,313,3.0,0.96
2018-08-01,RS,279,2.0,0.72
2018-08-01,SC,192,0.0,0.0
2018-08-01,BA,157,0.0,0.0
2018-08-01,DF,141,0.0,0.0
2018-08-01,GO,113,0.0,0.0
2018-08-01,ES,100,0.0,0.0
2018-08-01,PE,81,0.0,0.0
2018-08-01,CE,54,0.0,0.0
2018-08-01,PA,42,0.0,0.0
2018-08-01,MT,39,0.0,0.0
2018-08-01,MS,35,0.0,0.0
2018-08-01,MA,29,0.0,0.0
2018-08-01,PB,28,0.0,0.0
2018-08-01,SE,22,0.0,0.0
2018-08-01,RN,20,0.0,0.0
2018-07-01,SP,2628,24.0,0.91
2018-07-01,RJ,665,7.0,1.05
2018-07-01,MG,619,4.0,0.65
2018-07-01,PR,304,3.0,0.99
2018-07-01,RS,298,2.0,0.67
2018-07-01,BA,234,2.0,0.85
2018-07-01,SC,189,2.0,1.06
2018-07-01,DF,159,1.0,0.63
2018-07-01,PE,132,1.0,0.76
2018-07-01,ES,120,1.0,0.83
2018-07-01,GO,105,3.0,2.86
