product_category,shipment_scope,delivery_status,orders,avg_review_score,avg_days_late,low_review_share_pct
stationery,cross_state,late_or_unknown,126,2.14,11.66,67.13
toys,cross_state,late_or_unknown,202,2.16,10.07,64.79
baby,cross_state,late_or_unknown,183,2.3,10.49,60.22
sports_leisure,cross_state,late_or_unknown,425,2.32,10.23,60.57
bed_bath_table,cross_state,late_or_unknown,595,2.35,9.81,60.61
health_beauty,cross_state,late_or_unknown,553,2.35,9.54,59.9
cool_stuff,cross_state,late_or_unknown,181,2.35,11.33,60.32
watches_gifts,cross_state,late_or_unknown,344,2.37,8.97,58.73
computers_accessories,cross_state,late_or_unknown,393,2.39,9.44,58.32
auto,cross_state,late_or_unknown,219,2.4,11.54,57.83
perfumery,cross_state,late_or_unknown,171,2.4,9.9,59.78
furniture_decor,cross_state,late_or_unknown,385,2.44,9.63,57.92
garden_tools,cross_state,late_or_unknown,225,2.5,8.59,58.55
watches_gifts,same_state,late_or_unknown,114,2.51,6.62,53.91
telephony,cross_state,late_or_unknown,258,2.53,8.31,53.45
housewares,cross_state,late_or_unknown,247,2.53,9.09,55.15
electronics,cross_state,late_or_unknown,199,2.56,7.69,55.56
furniture_decor,same_state,late_or_unknown,141,2.87,5.84,44.1
sports_leisure,same_state,late_or_unknown,151,2.95,5.69,42.94
housewares,same_state,late_or_unknown,143,2.97,6.72,42.14
bed_bath_table,same_state,late_or_unknown,193,2.99,6.61,43.19
auto,same_state,late_or_unknown,105,3.08,6.03,40.0
health_beauty,same_state,late_or_unknown,205,3.2,4.74,39.69
computers_accessories,same_state,late_or_unknown,101,3.2,4.91,37.4
office_furniture,cross_state,on_time,684,3.59,-15.19,22.95
office_furniture,same_state,on_time,448,3.65,-12.12,21.43
fixed_telephony,cross_state,on_time,123,3.73,-16.64,24.03
construction_tools_safety,cross_state,on_time,111,3.92,-14.62,17.74
home_confort,cross_state,on_time,188,3.96,-13.63,16.83
bed_bath_table,cross_state,on_time,4596,3.98,-14.8,16.32
