customer_state,customers,avg_customer_gmv,median_customer_gmv,total_gmv,repeat_customer_share_pct
PB,504,224.04,119.15,112916.71,2.38
PA,922,189.23,109.93,174470.59,2.39
MT,855,178.02,99.99,152203.82,3.39
CE,1257,174.78,99.9,219698.38,1.59
MS,681,169.53,98.99,115451.97,2.64
MA,698,167.0,99.4,116569.38,1.86
PE,1548,162.66,99.9,251803.78,2.33
BA,3158,156.38,98.0,493847.55,2.85
GO,1894,149.52,97.85,283184.6,3.12
RJ,11913,147.69,95.28,1759399.43,3.27
SC,3444,147.02,89.99,506341.62,2.67
DF,2018,146.96,89.9,296563.01,2.97
MG,10998,141.18,89.99,1552670.17,2.95
RS,5167,141.07,89.9,728925.47,3.06
PR,4768,139.77,87.74,666427.32,2.96
